Contact,Fonction,Sigle structure
Pierre Trichet,INGE,ISPA
Bernhard Zeller,DIR,BEF
Luiz Domeignoz-Horta,PROFESSEUR,ECOSYS
Ali Faraj,INGE,FARE
Guillaume Vitte,INGE,BioEcoAgro
Perle Bressan,TECH,FARE
Bastien Gerard,ASSIST. INGE,SILVA
Loïc Louis,INGE,SILVA
Nicolas Angeli,INGE,SILVA
Ana Paula Brandao,DOC,FARE
Pierre Verjans,DOC,FARE
Sixteen Cueff,CR,LISAH
Lydie Koffi,ASSIST. INGE,ECOSYS
Maelle Pomies,INGE,IAM
Hélène Launay,CR,BIP
Matthieu Bergé,CR,LCB
Amel Latifi,PROFESSEUR,LCB
Gilles Peltier,DIR,BIAM
Yonghua Li-Beisson,DIR,BIAM
Olivier Bornet,INGE,IMM
Glaucia Squizato,INGE,BIP
Véronique Receveur-Brechot,DIR,BIP
Frédéric Carrière,DIR,BIP
Achille Marchand,POSTDOC,BIP
Lise Jamet,DOC,BIP
Alix Boulouis,MAITRE_DE_CONF,BIP
Tiphaine Alves Cunha,Stage M2,BIP
Hirono Suzuki,POSTDOC,BIAM
Jean-Marc Limousin,CR,CEFE
Xavier Morin,DIR,CEFE
Jean-Marc Ourcival,INGE,CEFE
Jean Kempf,INGE,CEFE
Isabelle Chuine,DIR,CEFE
Florent Mouillot,DIR,CEFE
Christian Pichot,CR,URFM
Guillaume Simioni,CR,URFM
Olivier Marloie,INGE,URFM
Nicolas Martin Stpaul,CR,URFM
Maxime Cailleret,CR,RECOVER
Mathieu Santonja,MAITRE_DE_CONF,IMBE
Virginie Baldy,PROFESSEUR,IMBE
Elena Ormeno,CR,IMBE
Jean-Philippe Orts,INGE,IMBE
Catherine Fernandez,PROFESSEUR,IMBE
Marie-Pierre Turpault,DIR,BEF
Paul-Olivier Redon,INGE,ANDRA
Nicolas Delpierre,PROFESSEUR,ESE
Daniel Berveiller,INGE,ESE
Christophe Francois,CR,ESE
Ivan Cornut,CR,Eco&Sols
Yann Nouvellon,DIR,Eco&Sols
Guerric Le Maire,DIR,Eco&Sols
Joannès Guillemot,CR,Eco&Sols
Daniel Poultney,CR,Eco&Sols
Jean-Christophe Domec,PROFESSEUR,ISPA
Christophe Chipeaux,INGE,ISPA
Mark Bakker,INGE,ISPA
Sébastien Lafont,INGE,ISPA
Mathias Cuntz,DIR,SILVA
Emilie Joetzjer,CR,SILVA
Pascal Courtois,INGE,SILVA
Jeanne Poughon,DOC,CEFE
Philippine Dubertrand,DOC,ESE
Joséphine Huet,DOC,IMBE
Damien Longepierre,INGE,CEFE
Jean Alric,DIR,BIAM
Fabien Chardon,DIR,IJPB
Katia Beauchene,INGE,ARVALIS
